Wellname		: 3-BRSA-			1132-RJS
Date		: 04/05/2			018 15:36:55
					
DEPTH	AF10	AF20	AF30	AF60	AF90
M	ohm,m	ohm,m	ohm,m	ohm,m	ohm,m
5273,9546	487,7	201,9	290,7	247,8	247,8
5274,1069	347,1	169,3	215,9	183,8	190,2
5274,2593	278,5	147,4	168,5	145,2	153,9
5274,4116	258,8	150,7	159,5	139,8	143,2
5274,564	256,6	161,9	157,2	137,7	140,8
5274,7163	268,2	169	161,2	141,4	143,2
5274,8687	298,2	173,7	172,3	151,6	152
5275,021	354,4	185,1	192,1	169,4	167,2
5275,1738	446,8	220,6	255,1	223,4	216,5
5275,3262	605	257,1	333	285,4	284,8
5275,4785	863,2	330,5	477,8	403	407,6
5275,6309	1241,7	458,8	727	624,9	620
5275,7832	1431,8	581,5	1127,5	955	971,9
5275,9355	1149,2	589	1449,7	1262,6	1316,5
5276,0879	925,3	589,2	1581,7	1512,1	1442,6
5276,2402	746,5	561	1505	1602,9	1358,4
5276,3926	609,4	502,8	1233,7	1527,3	1221,8
5276,5454	523,6	406,9	986,1	1302,3	1090,4
5276,6978	462,6	340	772,4	1156,5	991
5276,8501	429,5	313,9	671,7	985,4	954,7
5277,0024	509,9	339,8	703,9	887,1	987
5277,1548	697,6	419,6	871,4	862,4	1088
5277,3071	1121,4	576,8	1127,5	1000,8	1315,6
5277,4595	1567,9	777,9	1644,2	1128	1719,3
5277,6118	1779,5	967,4	1950	1502,2	1950
5277,7642	1897,5	1137,4	1950	1923,2	1950
5277,917	1931,9	1189,9	1950	1931,2	1945,7
5278,0693	1892	1125,1	1950	1913,6	1885,5
5278,2217	1776,5	999,9	1950	1943,5	1756,4
5278,374	1593,5	861,7	1950	1930,5	1619,1
5278,5264	1378,4	735	1950	1950	1420,9
5278,6787	1180,1	632,6	1950	1950	1434,2
5278,8311	1034	561,9	1950	1950	1586,8
5278,9834	953,4	526,1	1950	1950	1664,4
5279,1362	938,9	526,6	1950	1927,6	1687,9
5279,2886	988,1	565,8	1950	1882,6	1707,2
5279,4409	1093,9	643,5	1950	1838,9	1647,3
5279,5933	1231,2	743,1	1950	1675	1443,7
5279,7456	1343,4	812,5	1950	1565,1	1469,2
5279,8979	1367,1	791,7	1950	1640,3	1766
5280,0503	1305,8	694	1840,3	1492,9	1553,4
5280,2026	1087,3	563,2	1600,3	1186	1135,5
5280,355	987,4	482,7	1430,8	1033,3	968,7
5280,5078	871	431,7	1241,7	886,6	788,7
